Film,Casa produttrice
Alice in Wonderland,Walt Disney Pictures
Transformers: Dark of the Moon,"Hasbro Studios, Di Bonaventura Pictures"
Pirates of the Caribbean: On Stranger Tides,Walt Disney Pictures
Skyfall,Eon Productions
The Dark Knight Rises,Warner Bros. Pictures
The Hobbit: An Unexpected Journey,"New Line Cinema, Metro-Goldwyn-Mayer Pictures"
Iron Man 3,Marvel Studios
Jurassic World,Universal Pictures
Furious 7,Universal Pictures
Avengers: Age of Ultron,Marvel Studios
Minions,Illumination Entertainment
Rogue One: A Star Wars Story,Lucasfilm
Finding Dory,"Walt Disney Pictures, Pixar Animation Studios"
Zootopia,"Walt Disney Pictures, Walt Disney Animation Studios"
Beauty and the Beast,Walt Disney Pictures
Fast & Furious 8,Universal Pictures
Despicable Me 3,Illumination Entertainment
Black Panther,Marvel Studios
Jurassic World: Fallen Kingdom,Universal Pictures
Incredibles 2,"Walt Disney Pictures, Pixar Animation Studios"
Aquaman,Warner Bros. Pictures
The Lion King,Walt Disney Pictures
Frozen II,"Walt Disney Pictures, Walt Disney Animation Studios"
Spider-Man: Far From Home,"Columbia Pictures, Marvel Studios"
Captain Marvel,Marvel Studios
Joker,Warner Bros. Pictures
Star Wars: The Rise of Skywalker,Lucasfilm
Toy Story 4,"Walt Disney Pictures, Pixar Animation Studios"
Aladdin,Walt Disney Pictures
Top Gun: Maverick,Paramount Pictures
The Super Mario Bros. Movie,"Universal Pictures, Illumination Entertainment"
